Summary,Description,Status,Labels
"Field-Level Encryption","As a user, I want my account numbers and policy numbers to be encrypted in the database, so that my data is safe even if the DB is compromised.","Done","Security"
"Role-Based Access","As a household administrator, I want to assign 'Viewer' or 'Member' roles, so that I can control who can edit financial data.","Done","Security"
"Assign Members to Finance","As a user, I want to assign specific members to income or expense items, so that we can track who pays for what.","Done","Finance (The Core)"
"Auto-Sync Bank Balance","As a user, I want my bank account balance to automatically update when I mark a budget item as 'Paid', so that my records are always in sync.","Done","Finance (The Core)"
"Savings Pot Sync","As a user, I want updates to a 'Savings Pot' to automatically adjust the parent Savings Account balance, so that I don't have to double-entry data.","Done","Finance (The Core)"
"Reset Budget Cycle","As a user, I want to be able to reset or delete a budget cycle if I made a mistake, so that I can start fresh for the month.","Done","Finance (The Core)"
"Virtual Debt Tracking","As a user, I want my Mortgage and Loan repayments to appear automatically in my recurring costs list, so that I don't have to manage them in two places.","Todo","Finance (The Core)"
"Nearest Working Day Logic","As a user, I want recurring bills that fall on a weekend to automatically shift to the nearest working day on the calendar, so that I know the actual payment date.","Todo","Calendar & Planning"
"Financial Profile Filters","As a user, I want to filter lists by 'Financial Profile' (e.g. Joint vs Personal), so that I can see relevant data contexts.","Done","Finance (The Core)"
"Theme Customization","As a user, I want to select from multiple color themes (light/dark), so that the interface suits my visual preference.","Done","Settings & Admin"
"Mobile Responsive Tables","As a user, I want large data tables to transform into stacked cards on mobile, so that I can read data easily on my phone.","Done","UX/UI"
"Emoji Pickers","As a user, I want to assign emojis to my accounts and categories, so that I can visually distinguish them quickly.","Done","UX/UI"
"Automated Nightly Health","As a system, I want to run a comprehensive health check every night, so that regressions are caught immediately.","Done","DevOps/System"
"Cleanup Test Data","As a system, I want to automatically clean up test data after verification suites run, so that the database remains performant and clean.","Done","DevOps/System"
"Export Household Data","As an admin, I want to export my entire household data (JSON/SQL), so that I can migrate or back it up (Data Portability).","Todo","GDPR & Security"
"Delete Household (Right to be Forgotten)","As an admin, I want to permanently delete my household and all associated data, so that I can exercise my right to be forgotten.","Todo","GDPR & Security"
"View Access Logs","As a user, I want to see a log of recent sign-ins, so that I can detect unauthorized access.","Todo","GDPR & Security"
"Interactive Onboarding Tour","As a new user, I want a guided tour of the features, so that I can learn how to use the app quickly.","Todo","UX/UI"
"Spending Visualizations","As a user, I want to see colorful charts of my spending breakdown, so that I can understand my finances at a glance.","Todo","UX/UI"
"Budget Goal Confetti","As a user, I want to see a celebration animation when I stick to my budget, so that I feel rewarded.","Todo","UX/UI"
"Savings Goal Progress Bars","As a user, I want to see visual progress bars for my savings pots, so that stay motivated.","Todo","UX/UI"
"Dark/Light Mode Auto-Sync","As a user, I want the theme to match my system settings automatically, for a seamless experience.","Done","UX/UI"
"Drag-and-Drop Dashboard","As a user, I want to rearrange widgets on my dashboard, so that the most important info is where I want it.","Todo","UX/UI"
"Smart Bill Reminders","As a user, I want to receive email notifications for upcoming bills, so that I never miss a payment.","Todo","UX/UI"
"Shopping List Collaboration","As a user, I want a shared shopping list that updates in real-time, so that multiple family members can add items.","Todo","UX/UI"
"Monthly 'Wrap-Up' Report","As a user, I want a fun monthly summary of our household activity (like Spotify Wrapped), so that reviewing finances is engaging.","Todo","UX/UI"
"Export Tenant","As an admin, I want to be able to export a tenant's data, so that I can move it to another instance or back it up.","Todo","Tenant Management"
"Destroy Tenant","As an admin, I want to be able to destroy a tenant, so that I can remove all trace of them from the system.","Todo","Tenant Management"
"Gamified Chore List","As a parent, I want to assign chores to my kids with point values, so that they are motivated to help around the house.","Todo","Kids & Chores"
"Kids Allowance Tracker","As a user, I want to track my kids' allowance based on completed chores, so that payout is easy and transparent.","Todo","Kids & Chores"
"Kids Chore View","As a child user, I want a simple view where I can check off my chores and see my points, so that I can feel independent.","Todo","Kids & Chores"
"Food Budget Calculator","As a user, I want to set a weekly food budget and track grocery receipts against it, so that I can control food spending.","Todo","Food & Meals"
"Meal Plan Cost Estimator","As a user, I want to estimate the cost of a weekly meal plan based on ingredients, so that I can plan affordable weeks.","Todo","Food & Meals"
"Pantry Inventory","As a user, I want to track what I have in the pantry, so that I don't overbuy or waste food.","Todo","Food & Meals"
"Debt Payoff Simulator","As a user, I want to compare 'Snowball' vs 'Avalanche' payoff methods, so that I can choose the strategy that saves me the most interest or time.","Todo","Finance (The Core)"
"Payoff Date Projection","As a user, I want to see a projected 'Debt Free Date' based on my extra monthly payments, so that I have a clear light at the end of the tunnel.","Todo","Finance (The Core)"
"School Term Tracking","As a parent, I want to record school term dates for each child, so that they are highlighted on the family calendar.","Todo","Kids & School"
"Holiday Budget Planning","As a user, I want to see a projection of holiday costs (childcare, activities) during school holidays, so that I can budget for these expensive periods.","Todo","Kids & School"
"Term-Time vs Holiday Toggle","As a user, I want to toggle between 'Term Time' and 'Holiday' budget modes, so that I can adjust recurring meal and transport costs automatically.","Todo","Kids & School"
"CSV Bank Statement Import","As a user, I want to import a CSV bank statement, so that I can quickly reconcile my transactions.","Todo","Finance (Automation)"
"Auto-Categorize Bills","As a user, I want the system to automatically suggest categories for my imported transactions based on payee name, so that I save time on data entry.","Todo","Finance (Automation)"
"Payment Date Detection","As a user, I want the system to identify recurring payment dates from my history, so that my future budget projections are more accurate.","Todo","Finance (Automation)"
